"Timepoint [s]"	"C [unit]"	"SD"	"X [unit]"	"SD"	"M [unit]"	"SD"	"Y [unit]"	"SD"	"Z [unit]"	"SD"
0	0	1	0	1	0	1	1	1	1	1
3.33	0.4	1	0.09	1	0.42	1	1.56	1	0.88	1
6.67	0.38	1	0.38	1	0.82	1	1.95	1	0.84	1
10	0.02	1	0.66	1	0.66	1	2.34	1	0.75	1
13.33	0.02	1	0.6	1	0.12	1	2.7	1	0.63	1
16.67	0.03	1	0.36	1	0.03	1	2.98	1	0.53	1
20	0.11	1	0.17	1	0.11	1	3.18	1	0.47	1
23.33	0.21	1	0.15	1	0.34	1	3.3	1	0.47	1
26.67	0.18	1	0.29	1	0.54	1	3.37	1	0.5	1
30	0.04	1	0.41	1	0.38	1	3.49	1	0.47	1
33.33	0.04	1	0.3	1	0.08	1	3.62	1	0.41	1
36.67	0.12	1	0.15	1	0.14	1	3.7	1	0.38	1
40	0.21	1	0.15	1	0.36	1	3.71	1	0.41	1
43.33	0.16	1	0.29	1	0.52	1	3.71	1	0.45	1
46.67	0.04	1	0.38	1	0.33	1	3.77	1	0.43	1
50	0.05	1	0.26	1	0.08	1	3.85	1	0.38	1
53.33	0.14	1	0.13	1	0.17	1	3.87	1	0.37	1
56.67	0.21	1	0.17	1	0.39	1	3.84	1	0.41	1
60	0.14	1	0.31	1	0.51	1	3.83	1	0.45	1
63.33	0.04	1	0.37	1	0.27	1	3.88	1	0.41	1
66.67	0.06	1	0.23	1	0.08	1	3.93	1	0.37	1
70	0.16	1	0.13	1	0.21	1	3.93	1	0.37	1
73.33	0.21	1	0.19	1	0.43	1	3.89	1	0.42	1
76.67	0.11	1	0.33	1	0.49	1	3.88	1	0.45	1
80	0.04	1	0.35	1	0.21	1	3.93	1	0.41	1
83.33	0.08	1	0.2	1	0.09	1	3.97	1	0.37	1
86.67	0.18	1	0.13	1	0.25	1	3.95	1	0.38	1
90	0.2	1	0.21	1	0.46	1	3.91	1	0.43	1
93.33	0.09	1	0.35	1	0.46	1	3.9	1	0.45	1
96.67	0.04	1	0.33	1	0.15	1	3.96	1	0.4	1
100	0.1	1	0.17	1	0.11	1	3.99	1	0.37	1
